#FID	ID	population	lineage
0	C61158	navajo	BL
0	C61159	navajo	BL
0	C64811	williamson	BL
0	C64812	williamson	BL
0	C64833	steelman	GR
0	C64834	steelman	GR
0	C86113	nanita	BL
0	C86114	nanita	BL
0	C89918	como	GR
0	C89919	como	GR
0	C106394	s_hayden	GR
0	C106395	s_hayden	GR
0	C106420	severy	GR
0	C106421	severy	GR
0	C106533	abrams	GR
0	C106534	abrams	GR
0	C106795	e_fk_piedra	BL
0	C106796	e_fk_piedra	BL
0	C106914	w_fk_boulder	BL
0	C106915	w_fk_boulder	BL
0	C111600	kelso	GR
0	C111601	kelso	GR
0	C116990	roan	GR
0	C116991	roan	GR
0	C137404	dry_gulch	BL
0	C137405	dry_gulch	BL
0	C146087	s_twin	GR
0	C146088	s_twin	GR
0	C153862	hunter	GR
0	C153863	hunter	GR
0	C164587	w_antelope	GR
0	C164589	w_antelope	GR
0	C54438	yellowstone	YS
0	C54439	yellowstone	YS
0	C80221	san_juan	SJ
0	C80222	san_juan	SJ
0	C88212	bonneville	BV
0	C88213	bonneville	BV
0	C115796	greenback	GB
0	C115797	greenback	GB
0	C172915	lahontan	LN
0	C172916	lahontan	LN
0	C132064	coastal	CS
0	C132065	coastal	CS
0	C132968	westslope	WS
0	C132969	westslope	WS
0	C140859	rio_grande	RG
0	C140860	rio_grande	RG