sample	unit	library	flowcell	platform	lane	sample_id
C61158	1	CKDN230016975-1A	HCNCFDSX7	ILLUMINA	4	HCNCFDSX7.4.C61158
C61159	1	CKDN230016976-1A	HCNCFDSX7	ILLUMINA	4	HCNCFDSX7.4.C61159
C64811	1	CKDN230016977-1A	HCNCFDSX7	ILLUMINA	4	HCNCFDSX7.4.C64811
C64812	1	CKDN230016978-1A	HCNCFDSX7	ILLUMINA	4	HCNCFDSX7.4.C64812
C64833	1	CKDN230016979-1A	HCNCFDSX7	ILLUMINA	2	HCNCFDSX7.2.C64833
C64834	1	CKDN230016980-1A	HCNCFDSX7	ILLUMINA	2	HCNCFDSX7.2.C64834
C86113	1	CKDN230016981-1A	HCNCFDSX7	ILLUMINA	2	HCNCFDSX7.2.C86113
C86114	1	CKDN230016982-1A	HCNCFDSX7	ILLUMINA	2	HCNCFDSX7.2.C86114
C89918	1	CKDN230016983-1A	HCNCFDSX7	ILLUMINA	2	HCNCFDSX7.2.C89918
C89919	1	CKDN230016984-1A	HCNCFDSX7	ILLUMINA	2	HCNCFDSX7.2.C89919
C106394	1	CKDN230016985-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C106394
C106395	1	CKDN230016986-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C106395
C106420	1	CKDN230016987-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C106420
C106421	1	CKDN230016988-1A	HCNCFDSX7	ILLUMINA	4	HCNCFDSX7.4.C106421
C106533	1	CKDN230017005-1A	HCVG2DSX7	ILLUMINA	2	HCVG2DSX7.2.C106533
C106534	1	CKDN230017006-1A	HCVG2DSX7	ILLUMINA	2	HCVG2DSX7.2.C106534
C106795	1	CKDN230016989-1A	HCNCFDSX7	ILLUMINA	4	HCNCFDSX7.4.C106795
C106796	1	CKDN230016990-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C106796
C106914	1	CKDN230016991-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C106914
C106915	1	CKDN230016992-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C106915
C111600	1	CKDN230016993-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C111600
C111601	1	CKDN230016994-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C111601
C116990	1	CKDN230016995-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C116990
C116991	1	CKDN230016996-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C116991
C137404	1	CKDN230016997-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C137404
C137405	1	CKDN230016998-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C137405
C146087	1	CKDN230016999-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C146087
C146088	1	CKDN230017000-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C146088
C153862	1	CKDN230017001-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C153862
C153863	1	CKDN230017002-1A	HCVG2DSX7	ILLUMINA	2	HCVG2DSX7.2.C153863
C164587	1	CKDN230017003-1A	HCVG2DSX7	ILLUMINA	2	HCVG2DSX7.2.C164587
C164589	1	CKDN230017004-1A	HCVG2DSX7	ILLUMINA	2	HCVG2DSX7.2.C164589
C54438	1	CKDN240003960-1A	225CWKLT4	ILLUMINA	3	225CWKLT4.3.C54438
C54439	1	CKDN240003961-1A	225CKVLT4	ILLUMINA	5	225CKVLT4.5.C54439
C80221	1	CKDN240003962-1A	225CKVLT4	ILLUMINA	5	225CKVLT4.5.C80221
C80222	1	CKDN240003963-1A	225CKVLT4	ILLUMINA	5	225CKVLT4.5.C80222
C88212	1	CKDN240003964-1A	225CKVLT4	ILLUMINA	5	225CKVLT4.5.C88212
C88213	1	CKDN240003965-1A	225CKVLT4	ILLUMINA	5	225CKVLT4.5.C88213
C115796	1	CKDN240003966-1A	225CKVLT4	ILLUMINA	6	225CKVLT4.6.C115796
C115797	1	CKDN240003967-1A	225CKVLT4	ILLUMINA	6	225CKVLT4.6.C115797
C172915	1	CKDN240003970-1A	225CKVLT4	ILLUMINA	6	225CKVLT4.6.C172915
C172916	1	CKDN240003971-1A	225CKVLT4	ILLUMINA	6	225CKVLT4.6.C172916
C132064	1	CKDN240003972-1A	225CKVLT4	ILLUMINA	6	225CKVLT4.6.C132064
C132065	1	CKDN240003973-1A	225CKVLT4	ILLUMINA	6	225CKVLT4.6.C132065
C132968	1	CKDN240003974-1A	225CKVLT4	ILLUMINA	6	225CKVLT4.6.C132968
C132969	1	CKDN240003975-1A	225CKVLT4	ILLUMINA	6	225CKVLT4.6.C132969
C140859	1	CKDN240003976-1A	225CKVLT4	ILLUMINA	7	225CKVLT4.7.C140859
C140860	1	CKDN240003977-1A	225CKVLT4	ILLUMINA	7	225CKVLT4.7.C140860